contributor_id,recipe_id,created
9748,50662,2003-01-10
333240,177187,2006-07-12
145599,118843,2005-04-24
189797,208179,2007-01-30
2549237,500166,2013-05-13
2628680,501028,2013-05-28
126687,136602,2005-09-07
98404,69190,2003-08-20
128473,503475,2013-07-08
135470,522861,2015-07-25
65502,457136,2011-05-23
1308592,455351,2011-05-07
64642,333797,2008-10-29
618715,428056,2010-06-01
849216,306245,2008-05-30
2000414501,523359,2015-08-27
488441,495314,2013-02-11
89831,149593,2005-12-28
89831,227924,2007-05-14
68715,100540,2004-09-24
59476,155959,2006-02-13
27395,29214,2002-05-23
92641,92533,2004-06-03
86764,209203,2007-02-04
44807,42151,2002-10-03
398160,327356,2008-09-26
957013,325509,2008-09-17
297076,236184,2007-06-20
533770,241445,2007-07-19
245081,149887,2006-01-01
183756,112984,2005-03-08
261027,200148,2006-12-11
1072593,445026,2010-12-29
101792,70611,2003-09-05
696326,273326,2007-12-21
676820,310570,2008-06-24
334242,318677,2008-08-11
42938,80050,2004-01-01
669653,269984,2007-12-05
710042,317508,2008-08-05
70558,53872,2003-02-12
653438,268942,2007-11-29
57256,176110,2006-07-04
398275,205331,2007-01-14
50969,165856,2006-04-26
2189975,474769,2012-02-22
50969,138005,2005-09-20
430471,216945,2007-03-15
47892,164526,2006-04-16
20477,50184,2003-01-07
208389,316470,2008-07-29
451456,343338,2008-12-13
60919,137434,2005-09-14
94272,95534,2004-07-13
6164,30473,2002-06-05
22973,24470,2002-04-08
435663,311991,2008-07-04
237783,225707,2007-05-01
305531,242830,2007-07-27
719313,336744,2008-11-12
71479,83542,2004-02-10
76251,91626,2004-05-22
779526,303457,2008-05-13
165850,176717,2006-07-10
50143,39226,2002-09-03
412147,216030,2007-03-10
120121,268169,2007-11-27
158962,98357,2004-08-24
236470,150365,2006-01-04
195137,243251,2007-07-29
27395,20186,2002-02-20
64918,109818,2005-01-28
260629,243785,2007-08-01
237783,207525,2007-01-25
329769,226246,2007-05-04
336058,353044,2009-01-30
603152,263781,2007-11-07
93406,66932,2003-07-16
41810,48131,2002-12-09
29110,32363,2002-06-26
240552,293225,2008-03-21
240500,235173,2007-06-16
237783,226001,2007-05-02
450571,220186,2007-04-02
333475,217201,2007-03-16
199418,194665,2006-11-09
569628,269909,2007-12-05
237783,259693,2007-10-17
59780,161370,2006-03-24
208121,152261,2006-01-18
208121,152259,2006-01-18
779526,303460,2008-05-13
284180,270259,2007-12-07
741512,345123,2008-12-24
113941,125195,2005-06-09
89831,141939,2005-10-19
89831,171442,2006-06-05
344716,212188,2007-02-19
254614,262208,2007-10-30
432503,207857,2007-01-28
356062,221049,2007-04-06
356062,221116,2007-04-06
29655,130819,2005-07-22
31525,20223,2002-02-20
31445,190108,2006-10-13
296809,158372,2006-03-02
402135,219681,2007-03-29
568297,261215,2007-10-25
305430,179640,2006-07-29
398160,250883,2007-09-04
98812,140855,2005-10-10
197023,120297,2005-05-02
172755,130492,2005-07-19
236760,164634,2006-04-17
599568,293836,2008-03-24
265809,169586,2006-05-24
431867,261296,2007-10-25
108291,101115,2004-10-01
649173,271594,2007-12-12
295591,164291,2006-04-14
98812,251528,2007-09-07
64780,250833,2007-09-04
751759,343448,2008-12-14
