contributor_id,recipe_id,created
9748,50662,2003-01-10
333240,177187,2006-07-12
145599,118843,2005-04-24
189797,208179,2007-01-30
2549237,500166,2013-05-13
2628680,501028,2013-05-28
126687,136602,2005-09-07
98404,69190,2003-08-20
128473,503475,2013-07-08
135470,522861,2015-07-25
65502,457136,2011-05-23
1308592,455351,2011-05-07
64642,333797,2008-10-29
618715,428056,2010-06-01
849216,306245,2008-05-30
2000414501,523359,2015-08-27
488441,495314,2013-02-11
89831,149593,2005-12-28
89831,227924,2007-05-14
68715,100540,2004-09-24
59476,155959,2006-02-13
27395,29214,2002-05-23
92641,92533,2004-06-03
86764,209203,2007-02-04
44807,42151,2002-10-03
398160,327356,2008-09-26
957013,325509,2008-09-17
297076,236184,2007-06-20
533770,241445,2007-07-19
245081,149887,2006-01-01
183756,112984,2005-03-08
261027,200148,2006-12-11
1072593,445026,2010-12-29
101792,70611,2003-09-05
696326,273326,2007-12-21
676820,310570,2008-06-24
334242,318677,2008-08-11
42938,80050,2004-01-01
669653,269984,2007-12-05
710042,317508,2008-08-05
70558,53872,2003-02-12
653438,268942,2007-11-29
57256,176110,2006-07-04
398275,205331,2007-01-14
50969,165856,2006-04-26
2189975,474769,2012-02-22
50969,138005,2005-09-20
430471,216945,2007-03-15
47892,164526,2006-04-16
20477,50184,2003-01-07
208389,316470,2008-07-29
451456,343338,2008-12-13
60919,137434,2005-09-14
94272,95534,2004-07-13
6164,30473,2002-06-05
22973,24470,2002-04-08
435663,311991,2008-07-04
237783,225707,2007-05-01
305531,242830,2007-07-27
719313,336744,2008-11-12
71479,83542,2004-02-10
76251,91626,2004-05-22
779526,303457,2008-05-13
165850,176717,2006-07-10
50143,39226,2002-09-03
412147,216030,2007-03-10
120121,268169,2007-11-27
158962,98357,2004-08-24
236470,150365,2006-01-04
195137,243251,2007-07-29
27395,20186,2002-02-20
64918,109818,2005-01-28
260629,243785,2007-08-01
237783,207525,2007-01-25
329769,226246,2007-05-04
336058,353044,2009-01-30
603152,263781,2007-11-07
93406,66932,2003-07-16
41810,48131,2002-12-09
29110,32363,2002-06-26
240552,293225,2008-03-21
240500,235173,2007-06-16
237783,226001,2007-05-02
450571,220186,2007-04-02
333475,217201,2007-03-16
199418,194665,2006-11-09
569628,269909,2007-12-05
237783,259693,2007-10-17
59780,161370,2006-03-24
208121,152261,2006-01-18
208121,152259,2006-01-18
779526,303460,2008-05-13
284180,270259,2007-12-07
741512,345123,2008-12-24
113941,125195,2005-06-09
89831,141939,2005-10-19
89831,171442,2006-06-05
344716,212188,2007-02-19
254614,262208,2007-10-30
432503,207857,2007-01-28
356062,221049,2007-04-06
356062,221116,2007-04-06
29655,130819,2005-07-22
31525,20223,2002-02-20
31445,190108,2006-10-13
296809,158372,2006-03-02
402135,219681,2007-03-29
568297,261215,2007-10-25
305430,179640,2006-07-29
398160,250883,2007-09-04
98812,140855,2005-10-10
197023,120297,2005-05-02
172755,130492,2005-07-19
236760,164634,2006-04-17
599568,293836,2008-03-24
265809,169586,2006-05-24
431867,261296,2007-10-25
108291,101115,2004-10-01
649173,271594,2007-12-12
295591,164291,2006-04-14
98812,251528,2007-09-07
64780,250833,2007-09-04
751759,343448,2008-12-14
54614,39893,2002-09-10
135442,147477,2005-12-05
452592,223349,2007-04-18
55225,86768,2004-03-16
343789,197001,2006-11-21
35635,60938,2003-04-24
474322,228491,2007-05-17
50969,451515,2011-03-24
573325,353171,2009-01-31
233583,354039,2009-02-05
213909,302399,2008-05-06
308434,195736,2006-11-15
883095,365946,2009-04-14
326787,221544,2007-04-09
329471,175306,2006-06-28
166642,211833,2007-02-16
305531,276567,2008-01-05
327600,232044,2007-06-03
430471,244840,2007-08-06
50969,342620,2008-12-09
217724,165270,2006-04-24
12202,9999,2001-07-05
65502,423875,2010-05-07
711025,275675,2008-01-02
537068,356803,2009-02-20
718054,296983,2008-04-08
37584,111462,2005-02-19
305531,242831,2007-07-27
172861,151143,2006-01-10
340556,185799,2006-09-13
290107,166089,2006-04-27
616152,310082,2008-06-18
42651,70005,2003-08-28
191220,129581,2005-07-12
182809,116741,2005-04-12
20214,143750,2005-11-03
280735,257409,2007-10-06
192541,154426,2006-02-03
225896,255916,2007-09-27
817632,325714,2008-09-19
168416,163238,2006-04-06
543183,274988,2007-12-31
86359,347252,2009-01-06
29655,47037,2002-11-20
229265,130815,2005-07-22
383346,251021,2007-09-04
26278,25538,2002-04-18
341338,276594,2008-01-05
72177,54837,2003-02-25
22724,32378,2002-06-26
211309,259784,2007-10-17
6164,16391,2001-12-30
308434,196264,2006-11-18
571134,251032,2007-09-04
599450,429524,2010-06-12
67395,146,1999-09-10
899120,315537,2008-07-24
2406227,487173,2012-09-19
335737,341118,2008-12-03
89831,77206,2003-11-21
89831,157487,2006-02-24
89831,289671,2008-03-02
573325,356884,2009-02-20
238997,168590,2006-05-18
41706,44050,2002-10-25
190858,166328,2006-04-29
1530,242,1999-09-05
213699,124853,2005-06-06
8688,160077,2006-03-15
166475,161843,2006-03-27
1355934,447429,2011-01-26
87870,202009,2006-12-27
517900,372665,2009-05-18
34146,55681,2003-03-05
46353,230240,2007-05-24
239808,137701,2005-09-16
534058,467795,2011-11-08
237783,289133,2008-02-28
37636,28951,2002-05-20
1783373,513531,2014-02-21
119577,511799,2014-01-07
66448,292568,2008-03-19
319847,435497,2010-08-19
280271,392158,2009-09-28
309526,167554,2006-05-09
2549237,505132,2013-08-01
203916,399278,2009-11-13
33186,535020,2018-01-29
296809,165110,2006-04-20
37036,27200,2002-05-03
491970,262576,2007-10-31
797706,357497,2009-02-23
316114,201697,2006-12-23
667692,363009,2009-03-26
113941,113150,2005-03-10
106635,81635,2004-01-20
538098,279052,2008-01-15
351661,240622,2007-07-15
190230,142984,2005-10-28
822971,299989,2008-04-22
213699,165385,2006-04-24
237783,285606,2008-02-09
355470,204270,2007-01-08
181319,117116,2005-04-13
53859,138275,2005-09-21
113941,168644,2006-05-18
27395,20085,2002-02-19
548051,243157,2007-07-29
287087,160170,2006-03-15
1699816,441744,2010-11-12
345569,271113,2007-12-11
23724,16327,2001-12-28
193499,182122,2006-08-17
883095,369169,2009-05-04
446143,331715,2008-10-20
571288,249050,2007-08-27
265672,151746,2006-01-16
199953,297594,2008-04-10
27643,63346,2003-05-28
336058,519068,2014-10-17
237783,263831,2007-11-07
745237,419921,2010-04-12
1232400,368320,2009-04-28
280271,392150,2009-09-28
1010057,342619,2008-12-09
373083,408907,2010-01-18
1059677,371961,2009-05-14
265176,188151,2006-09-27
1336260,383120,2009-07-28
346576,248125,2007-08-22
134550,128715,2005-07-05
220348,495344,2013-02-11
487548,300339,2008-04-23
946205,460846,2011-07-25
797706,367987,2009-04-26
66448,280918,2008-01-23
201581,243409,2007-07-30
195137,243249,2007-07-29
308533,173113,2006-06-17
383346,463219,2011-08-28
191015,360086,2009-03-10
163112,457965,2011-06-04
15851,72449,2003-10-02
359528,193430,2006-11-01
40493,39172,2002-09-03
674754,303070,2008-05-12
446143,216068,2007-03-10
1343869,384510,2009-08-07
353726,367865,2009-04-25
1360982,391390,2009-09-22
183381,141937,2005-10-19
68357,53197,2003-02-03
1453068,400273,2009-11-19
2001975627,535431,2018-03-26
2288504,480776,2012-06-10
518707,305431,2008-05-28
1751920,443640,2010-12-06
157425,406331,2010-01-02
1707371,441118,2010-11-03
232669,142369,2005-10-23
232669,145858,2005-11-21
235194,173730,2006-06-19
282673,170199,2006-05-29
128945,239866,2007-07-11
19280,46189,2002-11-15
892733,314384,2008-07-17
196369,136231,2005-09-06
254614,174536,2006-06-22
133933,341816,2008-12-05
47858,59515,2003-04-14
311398,320708,2008-08-21
336991,211091,2007-02-13
182809,286851,2008-02-19
315797,248212,2007-08-23
506822,280644,2008-01-22
332083,176883,2006-07-10
246197,298908,2008-04-17
113941,102035,2004-10-15
32058,430445,2010-06-21
533409,239871,2007-07-11
972182,328250,2008-10-01
260764,146686,2005-11-29
245548,138477,2005-09-22
727055,287778,2008-02-23
210188,204122,2007-01-08
1085867,437637,2010-09-17
113941,123115,2005-05-22
89831,152844,2006-01-23
89831,132195,2005-08-03
365545,248962,2007-08-27
233583,384264,2009-08-05
372791,199545,2006-12-07
1098866,422291,2010-04-30
1131605,427531,2010-05-28
68904,389642,2009-09-09
532176,287235,2008-02-20
26075,110085,2005-02-02
383853,371549,2009-05-12
653438,444320,2010-12-16
383853,284465,2008-02-05
1292969,376813,2009-06-11
65720,51506,2003-01-15
154607,134015,2005-08-19
400519,202195,2006-12-28
118840,407516,2010-01-09
76251,92113,2004-05-28
527886,354047,2009-02-05
93095,230565,2007-05-28
31364,134085,2005-08-20
1533,38811,2002-08-29
347227,185520,2006-09-11
809163,390230,2009-09-14
814629,401605,2009-11-28
573325,356849,2009-02-20
311484,393988,2009-10-11
879350,360444,2009-03-12
308515,192390,2006-10-26
1386745,446452,2011-01-13
379453,454621,2011-04-28
969655,440388,2010-10-26
559289,246224,2007-08-13
47892,484992,2012-08-07
265954,276865,2008-01-07
220487,172744,2006-06-15
72748,147212,2005-12-05
206747,214193,2007-02-27
779217,361927,2009-03-20
318262,450466,2011-03-10
349619,439143,2010-10-11
463202,298874,2008-04-17
89831,140196,2005-10-05
169341,196006,2006-11-18
1499434,409229,2010-01-19
325701,174469,2006-06-22
141457,296051,2008-04-03
237783,256763,2007-10-03
337736,306590,2008-05-31
39949,52289,2003-01-27
1009436,433071,2010-07-23
246844,218648,2007-03-25
229850,146447,2005-11-28
237783,256734,2007-10-02
138016,212028,2007-02-18
962474,408303,2010-01-13
17803,25512,2002-04-17
1179823,363904,2009-04-01
204024,481157,2012-06-18
27643,18719,2002-02-02
883095,335539,2008-11-06
213909,303944,2008-05-16
663277,443720,2010-12-07
57042,407098,2010-01-05
238966,285568,2008-02-09
1646101,432027,2010-07-06
347160,207743,2007-01-26
360244,299968,2008-04-22
1974537,464946,2011-09-26
225837,130642,2005-07-21
128945,395202,2009-10-18
1002913,335495,2008-11-06
360369,192542,2006-10-28
518707,315110,2008-07-22
213909,368878,2009-05-01
270809,147563,2005-12-06
435109,207466,2007-01-24
247476,193719,2006-11-04
56003,251976,2007-09-10
149363,334501,2008-11-02
113941,123117,2005-05-22
51579,38852,2002-08-29
233182,181808,2006-08-14
717221,291073,2008-03-10
204628,186143,2006-09-13
133174,250232,2007-09-02
56003,411859,2010-02-05
296027,382731,2009-07-24
209747,134787,2005-08-24
160019,154576,2006-02-04
482014,222030,2007-04-11
21752,52565,2003-01-28
124030,103393,2004-11-04
525142,358626,2009-03-02
18660,53152,2003-02-03
439731,211322,2007-02-13
571995,251714,2007-09-09
946392,343821,2008-12-15
189668,168420,2006-05-17
653438,402351,2009-12-03
808027,319381,2008-08-13
37779,489707,2012-11-03
1366254,389301,2009-09-08
37036,29916,2002-05-31
1533,36482,2002-08-07
41531,98844,2004-08-31
25792,65207,2003-06-19
2682188,496766,2013-03-06
167408,140746,2005-10-10
573325,302344,2008-05-06
52381,56036,2003-03-10
41531,74284,2003-10-29
886603,361017,2009-03-16
1682162,437219,2010-09-13
1911277,467076,2011-10-30
28177,327141,2008-09-24
850974,342698,2008-12-09
844444,304814,2008-05-27
34879,387488,2009-08-27
37636,81280,2004-01-16
331792,261482,2007-10-26
37636,77380,2003-11-26
446143,240369,2007-07-14
491381,340730,2008-12-01
22788,334951,2008-11-03
382071,305987,2008-05-29
1028104,337893,2008-11-17
111342,157160,2006-02-22
6164,35632,2002-07-29
162155,141712,2005-10-17
13483,21357,2002-03-04
261027,205443,2007-01-15
296027,201813,2006-12-24
326970,198343,2006-11-29
555701,279176,2008-01-15
33186,532472,2017-07-06
37305,32204,2002-06-25
945836,378540,2009-06-23
622957,293049,2008-03-20
128703,104773,2004-11-24
165308,129919,2005-07-15
196390,391335,2009-09-21
20480,383339,2009-07-29
145097,96727,2004-08-02
786549,474258,2012-02-15
353492,209322,2007-02-05
65720,60454,2003-04-21
395252,240447,2007-07-14
1283639,375376,2009-06-01
47892,160398,2006-03-17
208660,350400,2009-01-18
330545,280251,2008-01-22
258285,242761,2007-07-27
13483,11878,2001-09-20
510313,385823,2009-08-17
31558,22711,2002-03-16
117010,98821,2004-08-31
167408,152534,2006-01-19
1356721,423516,2010-05-06
1588851,418756,2010-04-02
490142,481195,2012-06-18
59532,53312,2003-02-04
59064,51922,2003-01-21
10175,11363,2001-09-03
21752,63131,2003-05-27
46545,108819,2005-01-19
298098,344420,2008-12-20
900070,292317,2008-03-17
69395,79313,2003-12-18
320409,282644,2008-01-29
25467,19953,2002-02-18
101391,97808,2004-08-14
4470,16451,2001-12-30
117438,84610,2004-02-21
80353,116449,2005-04-12
29291,24760,2002-04-08
131674,261888,2007-10-28
235241,133328,2005-08-12
105601,196614,2006-11-19
513366,238453,2007-07-03
31558,23078,2002-03-21
93847,67142,2003-07-20
197045,484624,2012-07-30
14823,97968,2004-08-17
134663,87640,2004-03-28
175574,413910,2010-02-21
141042,154187,2006-02-01
424680,327979,2008-09-30
381740,196319,2006-11-18
332843,184785,2006-09-06
21752,15255,2001-12-04
101732,344648,2008-12-22
1685802,438092,2010-09-23
192181,265262,2007-11-13
287420,247277,2007-08-19
354689,190891,2006-10-16
1750773,449891,2011-03-02
262129,163005,2006-04-04
546010,473002,2012-01-25
10033,32088,2002-06-24
706226,286681,2008-02-14
593927,361328,2009-03-16
1152800,376660,2009-06-10
681229,285666,2008-02-10
281923,159527,2006-03-12
457690,220237,2007-04-02
100856,375362,2009-06-01
59532,75408,2003-11-04
385180,196548,2006-11-19
869184,399709,2009-11-16
466793,217296,2007-03-18
36919,55809,2003-03-06
219942,198660,2006-12-01
182809,121107,2005-05-09
158304,98478,2004-08-25
1424434,420409,2010-04-14
224921,393667,2009-10-08
37183,106902,2004-12-27
17803,435816,2010-08-24
31364,134086,2005-08-20
287420,246617,2007-08-15
207176,221942,2007-04-11
4470,21816,2002-03-09
166642,198073,2006-11-28
319368,169105,2006-05-22
341338,258868,2007-10-13
22973,15063,2001-11-29
29782,202949,2007-01-02
1786923,454944,2011-05-03
2651788,497150,2013-03-10
29782,202840,2007-01-01
1298498,392350,2009-09-28
347727,184214,2006-08-31
158304,99065,2004-09-02
232037,325657,2008-09-19
18391,49737,2003-01-03
5060,15202,2001-12-04
5060,15211,2001-12-04
5060,15209,2001-12-04
247958,187601,2006-09-26
10033,37796,2002-08-19
471055,218687,2007-03-25
223318,127048,2005-06-21
22973,26420,2002-04-27
198419,142215,2005-10-21
1010338,426696,2010-05-21
297023,157808,2006-02-27
330545,229979,2007-05-24
171084,128830,2005-07-06
171084,128840,2005-07-06
1658961,436082,2010-08-27
319847,407659,2010-01-11
62086,87289,2004-03-22
977624,432965,2010-07-22
522036,266021,2007-11-15
444200,215290,2007-03-06
269929,147286,2005-12-05
311199,407471,2010-01-08
891449,367828,2009-04-25
891449,367823,2009-04-25
820831,349331,2009-01-12
674022,429248,2010-06-09
2333830,483908,2012-07-20
238268,154007,2006-01-31
163112,187210,2006-09-20
360500,218967,2007-03-26
167849,140610,2005-10-10
58104,79736,2003-12-29
444200,230686,2007-05-28
2122596,470837,2011-12-30
705251,483029,2012-07-11
736339,422277,2010-04-30
1366440,392181,2009-09-28
1926889,468143,2011-11-13
469983,344503,2008-12-21
47892,362654,2009-03-24
238268,157657,2006-02-25
47892,468652,2011-11-21
47892,251800,2007-09-10
47892,423369,2010-05-05
47892,374703,2009-05-27
47892,370567,2009-05-08
58104,100837,2004-09-29
779451,368257,2009-04-27
1129775,365158,2009-04-09
674022,484526,2012-07-29
191990,118801,2005-04-23
266296,146093,2005-11-23
515680,269443,2007-12-03
47892,286484,2008-02-13
351811,303978,2008-05-17
99164,323492,2008-09-05
134414,283618,2008-02-02
2283828,480558,2012-06-05
39835,416980,2010-03-18
39835,391705,2009-09-24
89831,176996,2006-07-10
283251,249911,2007-08-30
579506,255928,2007-09-27
462336,236346,2007-06-21
157425,316669,2008-07-30
212145,190411,2006-10-14
254932,316221,2008-07-29
317719,444002,2010-12-12
584365,290187,2008-03-05
164890,112386,2005-03-01
4470,11361,2001-09-03
407007,248676,2007-08-25
797706,359972,2009-03-09
797706,427872,2010-06-01
797706,357474,2009-02-23
22015,29935,2002-05-31
120566,459738,2011-06-30
120566,458929,2011-06-17
120566,458729,2011-06-14
1809182,447710,2011-01-31
452940,374271,2009-05-26
64918,187843,2006-09-26
94756,78123,2003-12-06
1532557,420931,2010-04-19
94272,111198,2005-02-15
513784,276330,2008-01-03
12619,103811,2004-11-10
33443,56719,2003-03-20
236760,164636,2006-04-17
54278,58321,2003-04-06
140806,100864,2004-09-29
510362,332651,2008-10-23
78884,146767,2005-11-29
125388,102895,2004-10-28
47549,33246,2002-07-05
21752,14881,2001-11-27
383346,493178,2013-01-07
454149,302498,2008-05-06
21752,13805,2001-11-06
1299206,378067,2009-06-22
210188,164100,2006-04-12
651132,266081,2007-11-16
354628,206648,2007-01-21
8688,207897,2007-01-28
214039,320454,2008-08-19
355944,377326,2009-06-15
464327,216873,2007-03-14
178427,407947,2010-01-12
1355934,389672,2009-09-10
54187,111072,2005-02-14
291568,165438,2006-04-24
95044,80411,2004-01-07
207006,149243,2005-12-24
313014,247646,2007-08-20
57042,256535,2007-10-01
498271,267159,2007-11-21
37449,401283,2009-11-25
89831,165274,2006-04-24
89831,211938,2007-02-17
7108,217180,2007-03-16
62086,47924,2002-12-08
725179,418500,2010-03-30
17803,137296,2005-09-13
1375473,428566,2010-06-04
33186,533190,2017-08-14
752865,291956,2008-03-14
1347760,385464,2009-08-17
1347760,385460,2009-08-17
112864,172373,2006-06-11
8257,12983,2001-10-20
464327,240165,2007-07-12
23119,344373,2008-12-20
215956,348965,2009-01-11
2247203,478546,2012-04-26
318709,168663,2006-05-19
3288,40228,2002-09-15
30407,433667,2010-07-28
17803,351229,2009-01-22
130768,169849,2006-05-25
679953,365138,2009-04-09
1464153,459089,2011-06-20
94189,255985,2007-09-28
446523,244971,2007-08-06
54102,39169,2002-09-03
293971,248672,2007-08-25
115178,88740,2004-04-09
66322,121344,2005-05-10
4470,176593,2006-07-07
110078,132955,2005-08-09
1464792,402246,2009-12-02
18391,83417,2004-02-09
37779,94547,2004-06-28
461867,262768,2007-10-31
928545,390932,2009-09-21
736554,287573,2008-02-22
629484,310869,2008-06-30
157167,163492,2006-04-10
5911,8606,2001-02-19
141293,181656,2006-08-14
1366254,389560,2009-09-09
128321,85434,2004-03-01
10113,90499,2004-05-03
551498,272869,2007-12-19
21752,57203,2003-03-26
1566320,429838,2010-06-15
207907,289559,2008-03-02
1116459,349293,2009-01-11
80219,509443,2013-11-13
593927,423880,2010-05-07
28604,127184,2005-06-22
119466,131582,2005-07-29
183381,141738,2005-10-17
1020526,470575,2011-12-26
279496,180817,2006-08-07
113941,133326,2005-08-12
37779,359203,2009-03-05
320994,185088,2006-09-07
409184,215039,2007-03-04
231556,133481,2005-08-15
2284242,513963,2014-03-04
166642,300960,2008-04-28
139475,98213,2004-08-19
33186,531143,2017-04-12
166642,213395,2007-02-23
258688,286624,2008-02-14
21399,27060,2002-05-02
112617,82530,2004-01-30
346383,334201,2008-10-30
1169153,358003,2009-02-27
57042,482111,2012-07-03
319854,286807,2008-02-19
1751716,457730,2011-06-01
145599,127743,2005-06-27
454675,368029,2009-04-26
223993,135933,2005-09-02
205983,126072,2005-06-15
19060,20238,2002-02-20
69474,129377,2005-07-11
140806,402119,2009-12-01
219695,289509,2008-03-01
1582326,417632,2010-03-23
171904,151775,2006-01-16
111263,83703,2004-02-12
506519,239306,2007-07-09
137915,89434,2004-04-19
2029782,468112,2011-11-13
168771,458576,2011-06-12
195423,146813,2005-11-30
339489,181106,2006-08-08
1530,632,1999-09-05
34879,6652,2000-03-06
379836,292147,2008-03-17
72748,221429,2007-04-08
40620,139353,2005-09-28
2070954,470360,2011-12-21
494867,418387,2010-03-29
1330370,382300,2009-07-21
468972,223872,2007-04-21
462577,218671,2007-03-25
1157312,430121,2010-06-17
315569,268681,2007-11-28
268888,151328,2006-01-12
169430,203134,2007-01-03
168771,436030,2010-08-26
929636,320924,2008-08-24
476360,220503,2007-04-03
384737,336323,2008-11-10
824334,325137,2008-09-15
168771,486979,2012-09-16
34941,22774,2002-03-17
21752,79425,2003-12-21
19185,213681,2007-02-24
210965,121712,2005-05-12
47907,155344,2006-02-09
230258,175339,2006-06-29
4470,72600,2003-10-03
29405,50614,2003-01-10
37449,133784,2005-08-17
126687,235003,2007-06-15
118930,140723,2005-10-10
962859,326839,2008-09-23
2029782,467326,2011-11-02
26278,43669,2002-10-22
105374,73566,2003-10-16
1072593,449768,2011-02-28
587675,404661,2009-12-21
250747,381713,2009-07-15
57042,257696,2007-10-08
337190,187606,2006-09-26
37449,91515,2004-05-20
262830,289891,2008-03-04
28177,412073,2010-02-08
157532,123746,2005-05-26
147095,206020,2007-01-17
1098705,345595,2008-12-29
11297,129227,2005-07-11
751870,472955,2012-01-25
28533,17490,2002-01-19
28604,130002,2005-07-15
63855,53353,2003-02-04
163986,105756,2004-12-09
844444,307362,2008-06-04
10113,51803,2003-01-17
953745,438263,2010-09-27
749060,525649,2016-01-19
167864,115160,2005-04-04
149363,168222,2006-05-16
53959,140172,2005-10-05
516405,305112,2008-05-27
64583,53481,2003-02-05
3288,76887,2003-11-18
189030,392598,2009-09-30
66983,113197,2005-03-10
1411615,398071,2009-11-06
33823,66527,2003-07-10
37305,184890,2006-09-06
80079,79046,2003-12-16
524879,356163,2009-02-16
14015,41673,2002-09-30
37449,506885,2013-09-13
83093,277539,2008-01-08
155297,169487,2006-05-24
497077,317587,2008-08-05
27643,20624,2002-02-25
668746,360232,2009-03-11
173614,246548,2007-08-14
21752,67446,2003-07-25
137839,153028,2006-01-23
174535,172651,2006-06-15
65631,348952,2009-01-11
1902,5276,1999-12-04
53959,140173,2005-10-05
44172,31184,2002-06-14
4470,164178,2006-04-12
146742,289025,2008-02-27
225426,287502,2008-02-21
60362,75079,2003-11-02
53959,147100,2005-12-02
510313,233317,2007-06-08
4439,109793,2005-01-28
516405,291409,2008-03-12
38796,27275,2002-05-04
470110,282812,2008-01-29
196248,311608,2008-07-02
883141,382234,2009-07-20
316097,237391,2007-06-27
439759,266997,2007-11-20
30674,21916,2002-03-09
444622,229451,2007-05-22
226066,204040,2007-01-08
117396,82287,2004-01-28
166642,302815,2008-05-08
807130,311842,2008-07-03
33186,531148,2017-04-12
474733,364157,2009-04-02
1020526,411979,2010-02-06
135870,102832,2004-10-28
276267,246180,2007-08-13
169430,224908,2007-04-26
1136078,364761,2009-04-06
2467678,489337,2012-10-26
327115,262448,2007-10-31
182010,294427,2008-03-25
226066,328436,2008-10-01
178427,357228,2009-02-22
26399,50246,2003-01-07
